새로운시간대,구분,기준일,시간대구분,총생활인구수
저녁,도봉구,20240111.0,18.5,256619.88829761904
저녁,동대문구,20240111.0,18.5,330668.48138333333
저녁,동작구,20240111.0,18.5,364767.78314761905
저녁,마포구,20240111.0,18.5,482928.93196904764
저녁,서대문구,20240111.0,18.5,347415.2221880953
저녁,서초구,20240111.0,18.5,590029.0906285715
저녁,성동구,20240111.0,18.5,343463.85842619045
저녁,성북구,20240111.0,18.5,403107.40059761907
저녁,송파구,20240111.0,18.5,762869.2540476191
저녁,양천구,20240111.0,18.5,372344.5678047619
저녁,영등포구,20240111.0,18.5,491633.7225809524
저녁,용산구,20240111.0,18.5,288668.85366190475
저녁,은평구,20240111.0,18.5,418279.7151142857
저녁,종로구,20240111.0,18.5,291694.3857785714
저녁,중구,20240111.0,18.5,274481.86219047615
저녁,중랑구,20240111.0,18.5,339317.9540642857
