기준일,시간대구분,구분,총생활인구수
20240121,6,송파구,740140.4965
20240121,6,강동구,543819.0632
20240121,7,종로구,206400.8764
20240121,7,중구,170425.2065
20240121,7,용산구,260225.4369
20240121,7,성동구,324909.1802
20240121,7,광진구,369858.4036
20240121,7,동대문구,349762.4047
20240121,7,중랑구,380122.2157
20240121,7,성북구,436177.9582
20240121,7,강북구,298211.5427
20240121,7,도봉구,288725.4488
20240121,7,노원구,519100.518
20240121,7,은평구,473350.8528
20240121,7,서대문구,345624.923
20240121,7,마포구,413096.9294
20240121,7,양천구,390179.2461
20240121,7,강서구,556724.8066
20240121,7,구로구,392730.5645
20240121,7,금천구,204368.028
20240121,7,영등포구,434522.1538
20240121,7,동작구,388089.3673
20240121,7,관악구,497744.4276
20240121,7,서초구,467240.0504
20240121,7,강남구,659992.4766
20240121,7,송파구,739603.6803
20240121,7,강동구,542516.8392
20240121,8,종로구,213900.7589
20240121,8,중구,181316.6112
20240121,8,용산구,266808.0227
20240121,8,성동구,324846.5596
20240121,8,광진구,367070.6606
20240121,8,동대문구,348788.9495
20240121,8,중랑구,375581.4723
20240121,8,성북구,432132.4659
20240121,8,강북구,293687.3503
20240121,8,도봉구,285515.8959
20240121,8,노원구,511980.3509
20240121,8,은평구,465381.2427
20240121,8,서대문구,345231.3365
20240121,8,마포구,414096.8158
20240121,8,양천구,388543.2283
20240121,8,강서구,552184.2994
20240121,8,구로구,392138.067
20240121,8,금천구,202854.6811
20240121,8,영등포구,441209.021
20240121,8,동작구,386311.0397
20240121,8,관악구,490940.9715
20240121,8,서초구,482139.1376
20240121,8,강남구,682395.5793
20240121,8,송파구,740827.0021
20240121,8,강동구,535296.7273
20240121,9,종로구,227682.7859
20240121,9,중구,198360.4467
20240121,9,용산구,276948.4208
20240121,9,성동구,324830.4477
20240121,9,광진구,362963.3623
20240121,9,동대문구,345998.7463
20240121,9,중랑구,367346.7556
20240121,9,성북구,426776.4247
20240121,9,강북구,286737.5871
20240121,9,도봉구,282036.4833
20240121,9,노원구,503693.3583
20240121,9,은평구,453294.2685
20240121,9,서대문구,343154.4917
20240121,9,마포구,418298.0786
20240121,9,양천구,386392.6182
20240121,9,강서구,547552.0794
20240121,9,구로구,388949.6751
20240121,9,금천구,201890.444
20240121,9,영등포구,453490.6878
20240121,9,동작구,380235.1941
20240121,9,관악구,482941.4539
20240121,9,서초구,509611.9562
20240121,9,강남구,709853.8396
20240121,9,송파구,744392.662
20240121,9,강동구,528242.19
20240121,10,종로구,245040.4517
20240121,10,중구,219147.3535
20240121,10,용산구,282736.9078
20240121,10,성동구,322913.011
20240121,10,광진구,361654.2663
20240121,10,동대문구,345967.0978
20240121,10,중랑구,359364.589
20240121,10,성북구,421177.7711
20240121,10,강북구,281798.0873
20240121,10,도봉구,278202.4105
20240121,10,노원구,496473.5743
20240121,10,은평구,440846.8476
20240121,10,서대문구,341328.3001
20240121,10,마포구,425239.8329
20240121,10,양천구,381216.3014
20240121,10,강서구,543227.248
20240121,10,구로구,388940.0413
20240121,10,금천구,201273.1568
20240121,10,영등포구,469605.8117
20240121,10,동작구,373843.9942
20240121,10,관악구,473321.174
20240121,10,서초구,527008.6126
20240121,10,강남구,733885.1855
20240121,10,송파구,747895.555
20240121,10,강동구,518727.437
20240121,11,종로구,265550.0649
20240121,11,중구,234545.6729
20240121,11,용산구,292340.857
20240121,11,성동구,320146.1289
20240121,11,광진구,359912.4147
20240121,11,동대문구,345289.6155
20240121,11,중랑구,353589.9133
20240121,11,성북구,412400.8639
20240121,11,강북구,277680.9235
20240121,11,도봉구,274182.3417
20240121,11,노원구,491580.1608
20240121,11,은평구,431406.2103
20240121,11,서대문구,339108.8198
20240121,11,마포구,432166.7642
20240121,11,양천구,375459.5117
20240121,11,강서구,537730.0848
20240121,11,구로구,385433.8457
20240121,11,금천구,199043.1577
20240121,11,영등포구,486498.2774
20240121,11,동작구,364989.7394
20240121,11,관악구,464981.89
20240121,11,서초구,540380.5805
20240121,11,강남구,755475.7144
20240121,11,송파구,750236.9523
20240121,11,강동구,509519.5291
20240121,12,종로구,284827.5282
20240121,12,중구,249059.9989
20240121,12,용산구,299505.9301
20240121,12,성동구,322703.9103
20240121,12,광진구,359270.0312
20240121,12,동대문구,345030.8149
20240121,12,중랑구,347858.9252
20240121,12,성북구,406515.0211
20240121,12,강북구,275243.267
20240121,12,도봉구,271179.2117
20240121,12,노원구,486225.5199
20240121,12,은평구,424057.6291
20240121,12,서대문구,338096.8251
20240121,12,마포구,442014.8613
20240121,12,양천구,369845.8977
20240121,12,강서구,536808.9037
20240121,12,구로구,383832.7419
20240121,12,금천구,198050.6511
20240121,12,영등포구,495495.5199
20240121,12,동작구,358002.9759
20240121,12,관악구,458981.3186
20240121,12,서초구,550167.3896
20240121,12,강남구,770721.4384
20240121,12,송파구,758120.8976
20240121,12,강동구,502348.6643
20240121,13,종로구,299669.5905
20240121,13,중구,255819.1086
20240121,13,용산구,305438.8253
20240121,13,성동구,323420.3599
20240121,13,광진구,360106.92
20240121,13,동대문구,343034.2604
20240121,13,중랑구,344229.153
20240121,13,성북구,400685.3993
20240121,13,강북구,272197.3163
20240121,13,도봉구,267696.4265
20240121,13,노원구,484463.9882
20240121,13,은평구,419040.0133
20240121,13,서대문구,337057.5923
20240121,13,마포구,451265.6442
20240121,13,양천구,366646.5765
20240121,13,강서구,537595.8261
20240121,13,구로구,380549.4585
20240121,13,금천구,198061.6621
20240121,13,영등포구,499896.7061
20240121,13,동작구,354008.2922
20240121,13,관악구,454318.9412
20240121,13,서초구,555593.1107
20240121,13,강남구,778675.4982
20240121,13,송파구,764001.7167
20240121,13,강동구,497680.2604
20240121,14,종로구,301003.2611
20240121,14,중구,255834.4562
20240121,14,용산구,306911.8568
20240121,14,성동구,327551.1964
20240121,14,광진구,360076.3493
20240121,14,동대문구,341608.5336
20240121,14,중랑구,344462.8829
20240121,14,성북구,396325.0884
20240121,14,강북구,271286.6697
20240121,14,도봉구,266816.5145
20240121,14,노원구,484947.2025
20240121,14,은평구,419081.8853
20240121,14,서대문구,336931.9455
20240121,14,마포구,459475.833
20240121,14,양천구,364986.5308
20240121,14,강서구,538514.1057
20240121,14,구로구,381099.3965
20240121,14,금천구,200083.495
20240121,14,영등포구,500793.5885
20240121,14,동작구,351476.7849
20240121,14,관악구,451320.1539
20240121,14,서초구,557936.3285
20240121,14,강남구,779380.017
